project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country
5905 GROVER AVE,New 2 Story Duplex. Att Garages Covd Patios Covd Porches Covd Balconies. Uncovd Roof Deck.,2007-03-22,2,2,5905 GROVER AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737883,5905 GROVER AVE,NA,Austin,Texas,United States
8905 Quick Stream Dr,New 1 Story Sf Res. Att Dropped Garage Covd Patio Covd Porch. **Smart Housing**,2007-03-01,1,1,8905 QUICK STREAM DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743208,8905 QUICK STREAM DRIVE,NA,Austin,Texas,United States
6015 PONCA ST,new two story duplex w/att gar covrd porches and uncovrd patios,2007-03-13,2,2,6015 PONCA ST,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10011764,6015 PONCA STREET,NA,Austin,Texas,United States
2104 E 8th St,**ref permit#2011-078430**New 2 Story Sf Res. Covd Porch Balcony.,2007-03-15,1,2,2104 E 8TH ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737379,2104 EAST 8TH STREET,NA,Austin,Texas,United States
5728   ZACHARY SCOTT ST,New 2 story sf res. att garage covd patio covd porch. **SMART HOUSING**,2007-03-30,1,2,5728 ZACHARY SCOTT ST,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10017909,5728 ZACHARY SCOTT STREET,NA,Austin,Texas,United States
11536 CHURCH CANYON DR,New 2 story sf res. att garage covd patio covd porch.,2007-03-29,1,2,11536 CHURCH CANYON DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10017601,11536 CHURCH CANYON DRIVE,NA,Austin,Texas,United States
5724   ZACHARY SCOTT ST,New 1 story sf res. att garage covd patio covd porch. **SMART HOUSING**,2007-03-30,1,1,5724 ZACHARY SCOTT ST,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10017886,5724 ZACHARY SCOTT STREET,NA,Austin,Texas,United States
2305 GILIA DR,new 2 story single family residene w/attached garage; covered porch,2007-04-04,1,2,2305 GILIA DR,78733,NA,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10019308,2305 GILIA DRIVE,NA,Austin,Texas,United States
11513 FLUSHWING DR,New 1 Story Sf Res W Att Garage And Cov Porch,2007-02-23,1,1,11513 FLUSHWING DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742652,11513 FLUSHWING DRIVE,NA,Austin,Texas,United States
11213 BASTOGNE LOOP,New 1 story sf res. att garage covd porch.,2007-04-11,1,1,11213 BASTOGNE LOOP,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10021449,11213 BASTOGNE LOOP,NA,Austin,Texas,United States
7428 CAYENNE LN,New 2 story sf. res. w/ att. garage covd patio & covd porch. *S.M.A.R.T. HOUSING*,2007-04-16,1,2,7428 CAYENNE LN,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10022939,7428 CAYENNE LANE,NA,Austin,Texas,United States
9209 Hopeland Dr,New 2 Story Sf Res. Att Garage Covd Patio Covd Porch Porte Cochere Bay. **See Tree/Pipeline Comments**,2007-03-01,1,2,9209 HOPELAND DR,78749,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742587,9209 HOPELAND DRIVE,NA,Austin,Texas,United States
7317 RIMCREST CV,New 3 Story Sf Condo. Att Garage Covd Patio.,2007-03-29,1,3,7317 RIMCREST CV,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742121,7317 RIMCREST CV,NA,Austin,Texas,United States
5334 Sendero Hills Pkwy,"New 2 Stry Sf Res W Att Gar And Cov Por/Pat/Balc. Det Gar And Att Carpt *Smart Housing*
ref permit#2007-149009",2007-02-26,1,2,5334 SENDERO HILLS PKWY,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743020,5334 SENDERO HILLS PKWY,NA,Austin,Texas,United States
10704 STRAW FLOWER DR,new two story sf res w/ attached garage w/ covd porch & covd patio,2007-04-05,1,2,10704 STRAW FLOWER DR,78733,NA,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10018522,10704 STRAW FLOWER DRIVE,NA,Austin,Texas,United States
5521 LIBERTON LN,new 1 story sf res w att garage and cov porch/patio. SMART Housing. **Volume Builder Program** DCain-Res Rev,2007-03-28,1,1,5521 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10017143,5521 LIBERTON LANE,NA,Austin,Texas,United States
2705 Alsatia Dr,*Cancel Permit New 2 Story Sf- Residence W/ Attached Garage And CovD. Porch And Patio,2007-02-28,1,2,2705 ALSATIA DR,78748,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=750206,2705 ALSATIA DRIVE,NA,Austin,Texas,United States
1114 HENNINGER ST,new one story sf res w/att gar and wood deck,2007-03-12,1,1,1114 HENNINGER ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10012045,1114 HENNINGER STREET,NA,Austin,Texas,United States
10701 Pecan Park Blvd Unit 3630,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,2007-02-28,NA,2,10701 PECAN PARK BLVD UNIT 3630,78750,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741920,10701 PECAN PARK BOULEVARD UNIT 3630,NA,Austin,Texas,United States
12025 STONEY MEADOW DR,New 2-story single-family residence attached garage covered porch.,2007-04-13,1,2,12025 STONEY MEADOW DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10021250,12025 STONEY MEADOW DRIVE,NA,Austin,Texas,United States
7313 RIMCREST CV,New 2 Story Sf Res. Att Garage Covd Patio.,2007-03-29,1,2,7313 RIMCREST CV,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742128,7313 RIMCREST CV,NA,Austin,Texas,United States
12021 STONEY MEADOW DR,New 1-story single-family residence attached garage covered porch.,2007-04-13,1,1,12021 STONEY MEADOW DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10022116,12021 STONEY MEADOW DRIVE,NA,Austin,Texas,United States
7401 COLDWATER MOUNTAIN CT,New 3stry Sf Res. Elec Srv & Plbg Eud & Outside City,2007-03-01,NA,3,7401 COLDWATER MOUNTAIN CT,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703452,7401 COLDWATER MOUNTAIN CT,NA,Austin,Texas,United States
5604 LIBERTON LN,New 1 Story Sf Res W Att Garage And Cov Porch/Patio,2007-02-27,1,1,5604 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743072,5604 LIBERTON LANE,NA,Austin,Texas,United States
6910 Villita Avenida,**Smart Housing**  New 1-Story Sf Res Covered Porch.,2007-03-01,1,1,6910 VILLITA AVENIDA,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743005,6910 VILLITA AVENIDA,NA,Austin,Texas,United States
5529 LIBERTON LN,New 2 story sf res. att garage covd patio covd porch.,2007-04-13,1,2,5529 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10022619,5529 LIBERTON LANE,NA,Austin,Texas,United States
12504 PIPER CT,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,2007-02-28,NA,2,12504 PIPER CT,78750,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743048,12504 PIPER CT,NA,Austin,Texas,United States
10701 Pecan Park Blvd Unit 2660,New 2 Story Condo W/Att Garage CovD Patio & CovD Porch.,2007-02-28,NA,2,10701 PECAN PARK BLVD UNIT 2660,78750,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743167,10701 PECAN PARK BOULEVARD UNIT 2660,NA,Austin,Texas,United States
5900   TERRAVISTA DR,New 2-story single-family residence attached garage covered porch and patio.,2007-04-09,1,2,5900 TERRAVISTA DR,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10018963,5900 TERRAVISTA DRIVE,NA,Austin,Texas,United States
5628 LIBERTON LN,New 1-Story Sf Res Attched Garage Covered Porch.,2007-03-01,1,1,5628 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743238,5628 LIBERTON LANE,NA,Austin,Texas,United States
7716 Northwest Dr,New 2-Story Duplex Res Attached Garages Uncovered Wood Decks On 2nd.,2007-03-26,2,2,7716 NORTHWEST DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737875,7716 NORTHWEST DRIVE,NA,Austin,Texas,United States
2803 ROBINSON AVE,New Two Family Res W/Uncovd Balcony(Ldc-2-774) Above New One Car Garage (Demo Pmt#07006481),2007-03-01,2,2,2803 ROBINSON AVE,78722,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=763501,2803 ROBINSON AVE,NA,Austin,Texas,United States
13106 KENSWICK DR,New 1 Story Sf Res. Att Garage Covd Patio Covd Porch.,2007-03-15,1,1,13106 KENSWICK DR,78754,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742865,13106 KENSWICK DRIVE,NA,Austin,Texas,United States
7705 JABORANDI DR,new 2 story sf residence w/attached garage; covered patio & porch,2007-04-03,1,2,7705 JABORANDI DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10018025,7705 JABORANDI DRIVE,NA,Austin,Texas,United States
7309 RIMCREST CV,New 3 Story Sf Condo. Att Garage Covd Patio.,2007-03-29,1,3,7309 RIMCREST CV,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742487,7309 RIMCREST CV,NA,Austin,Texas,United States
7904 MENLER DR,new 2 story sf residence w/attached garage; covered porch*building waived not trades*,2007-04-11,1,2,7904 MENLER DR,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10019122,7904 MENLER DRIVE,NA,Austin,Texas,United States
7301 RIMCREST CV,New Two Story Sf Res Condo W. Attached Garage & CovD Patio (See permit #08-001449),2007-03-29,1,2,7301 RIMCREST CV,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=755305,7301 RIMCREST CV,NA,Austin,Texas,United States
9725 RIAS WAY BLDG B,New 2-Story Sf Res Attached Garage Covered Porch And Patio.,2007-02-20,1,2,9725 RIAS WAY,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=763531,9725 RIAS WAY,NA,Austin,Texas,United States
8110 FM 2222 RD BLDG 21,New Multi-Family Townhomes,2007-02-16,2,2,8110 FM 2222 RD BLDG 21,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740507,8110 FM 2222 ROAD BLDG 21,NA,Austin,Texas,United States
5612 LIBERTON LN,New 1-Story Sf Res Attached Garage Covered Porch And Patio.,2007-02-09,1,1,5612 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742313,5612 LIBERTON LANE,NA,Austin,Texas,United States
1108 S 5TH ST,New 2-Story Sf Res W/Attached Carport Uncovered Porches And Patios.,2007-01-23,1,3,1108 S 5TH ST,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737257,1108 SOUTH 5TH STREET,NA,Austin,Texas,United States
7000 Villita Avenida,**Smart Housing**  New 2-Story Sf Res Covered Porch.   **refer to pmt # 2010-081771**,2007-02-09,1,2,7000 VILLITA AVENIDA,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738200,7000 VILLITA AVENIDA,NA,Austin,Texas,United States
6901 Villita Avenida,**Smart Housing** New 2-Story Sf Res Covered Porches.,2007-02-08,1,2,6901 VILLITA AVENIDA,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738269,6901 VILLITA AVENIDA,NA,Austin,Texas,United States
7508 Wisteria Valley Dr,New 1 Story Res W/ Att Garage And Cov Porch/Patio *Stratus Bank* Bldg Fee Waived Only (Not Trades),2007-02-22,1,1,7508 WISTERIA VALLEY DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742876,7508 WISTERIA VALLEY DRIVE,NA,Austin,Texas,United States
5525 COLINTON AVE,New 1 Story Sf Res W Att Garage And Cov Porch,2007-01-23,1,1,5525 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741453,5525 COLINTON AVE,NA,Austin,Texas,United States
5501 COLINTON AVE,New Two Story Sf Res W/Attached Garage W/Covd Porch & Uncovd Patio,2007-01-23,1,2,5501 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=763424,5501 COLINTON AVE,NA,Austin,Texas,United States
5912 Silver Screen Dr,New 2 Story Sf Res W Att Garage And Cov Porch/Patio **Smart Housing Program**,2007-01-30,1,2,5912 SILVER SCREEN DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741694,5912 SILVER SCREEN DRIVE,NA,Austin,Texas,United States
11309 Long Winter Dr,New 1 Story Sf Res W Att Garage,2007-02-02,1,1,11309 LONG WINTER DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741983,11309 LONG WINTER DRIVE,NA,Austin,Texas,United States
5313 Park At Woodlands Dr,New 2 Story Sf Res W Att Garage And Cov Porch/Patio,2007-01-23,1,2,5313 PARK AT WOODLANDS DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741444,5313 PARK AT WOODLANDS DRIVE,NA,Austin,Texas,United States
6918 Villita Avenida,**Smart Housing**New 2-Story Sf Res Covered Porch.  **refer to pmt # 2010-107103**,2007-02-09,1,2,6918 VILLITA AVENIDA,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738202,6918 VILLITA AVENIDA,NA,Austin,Texas,United States
1010 E 15TH ST,New Detached Garage W/Second Floor Apartment,2007-01-26,NA,2,1010 E 15TH ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741582,1010 EAST 15TH STREET,NA,Austin,Texas,United States
1611 Brackenridge St,Paint Retile/Repair Bath Wall. Replace W Heater W/Tankless. Replace Toilet. **See Comments**,2007-01-31,1,1,1611 BRACKENRIDGE ST,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741930,1611 BRACKENRIDGE STREET,NA,Austin,Texas,United States
9620 INDINA HILLS DR,(See 2010-032946 for repermit) New Two Story Res W/Att Garage Covered Patio & Covered Porch ( 4 Bathrooms 3/4 Meter),2007-02-21,1,2,9620 INDINA HILLS DR,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742846,9620 INDINA HILLS DRIVE,NA,Austin,Texas,United States
6902 Villita Cv,**Smart Housing** New 2-Story Sf Res Covered Porch.   **refer to pmt # 2010-081004**,2007-02-15,1,2,6902 VILLITA CV,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738134,6902 VILLITA CV,NA,Austin,Texas,United States
5908 Silver Screen Dr,New 1 Story Sf Res W Att Garage And Cov Porch/Patio **Smart Housing**,2007-01-30,1,1,5908 SILVER SCREEN DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741695,5908 SILVER SCREEN DRIVE,NA,Austin,Texas,United States
7713 JABORANDI DR,New 2 Story Sf Res. Att Garage Covd Patio Covd Porch *Stratus Bank* Bldg.Fee Waived (Not Trades); Vegetative Filter Strip must be vegetated prior to CO - AW.,2007-01-23,1,2,7713 JABORANDI DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741168,7713 JABORANDI DRIVE,NA,Austin,Texas,United States
11804 Timber Heights Dr,New 2 Story Sf Res W Att Garage And Cov Porch,2007-02-22,1,2,11804 TIMBER HEIGHTS DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741588,11804 TIMBER HEIGHTS DRIVE,NA,Austin,Texas,United States
12037 TIMBER HEIGHTS DR,New 1 Story Sf Res W Att Garage And Cov Porch/Patio,2007-02-02,1,1,12037 TIMBER HEIGHTS DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741985,12037 TIMBER HEIGHTS DRIVE,NA,Austin,Texas,United States
5408 Agatha Cir,**Smart Housing**  New 3-Story Sf Res Attached Carport Covered Porch And Wood Deck.,2007-01-22,1,3,5408 AGATHA CIR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740709,5408 AGATHA CIR,NA,Austin,Texas,United States
707 CARDINAL LN BLDG H,New Two Story Condo W/Balconies.,2007-01-30,1,2,707 CARDINAL LN BLDG H,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=736204,707 CARDINAL LANE BLDG H,NA,Austin,Texas,United States
5629 LIBERTON LN,New 1 Story Sf Res W Att Garage And Cov Porch/Patio,2007-01-31,1,1,5629 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741843,5629 LIBERTON LANE,NA,Austin,Texas,United States
6700 Walkup Ln,New 2 Story Sf Res W Att Garage And Cov Porch **Smart Housing**,2007-02-13,1,2,6700 WALKUP LN,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742433,6700 WALKUP LANE,NA,Austin,Texas,United States
5621 LIBERTON LN,New 1 Story Sf Res W Att Garage And Cov Porch/Patio,2007-01-31,1,1,5621 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741846,5621 LIBERTON LANE,NA,Austin,Texas,United States
5600 Apple Orchard Ln,New 2 Story Sf Res. Att Garage Covd Porch. **Smart Housing**,2007-02-07,1,2,5600 APPLE ORCHARD LN,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742101,5600 APPLE ORCHARD LANE,NA,Austin,Texas,United States
6914 Villita Avenida,**Smart Housing** New 2-Story Sf Res Covered Porch.,2007-02-08,1,2,6914 VILLITA AVENIDA,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=755266,6914 VILLITA AVENIDA,NA,Austin,Texas,United States
8110 FM 2222 RD BLDG 14,New Multi-Family Townhomes,2007-02-16,2,2,8110 FM 2222 RD BLDG 14,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=750481,8110 FM 2222 ROAD BLDG 14,NA,Austin,Texas,United States
6322 RIVER PLACE BLVD,New Two Story Sf Res W/Attached Garage W/Covered Patio & Porch,2007-02-12,1,2,6322 RIVER PLACE BLVD,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741478,6322 RIVER PLACE BOULEVARD,NA,Austin,Texas,United States
7105 Villita Avenida,**Smart Housing**  New 2-Story Sf Res Covered Porch.  **refer to pmt # 2010-081036**,2007-02-09,1,2,7105 VILLITA AVENIDA,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738203,7105 VILLITA AVENIDA,NA,Austin,Texas,United States
328 Camperdown Elm Dr,New 2 Story Res W Att Garage And Cov Porch,2007-01-30,1,2,328 CAMPERDOWN ELM DR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740989,328 CAMPERDOWN ELM DRIVE,NA,Austin,Texas,United States
8713 FENTON DR,New 2 Story Residential W/Att Garage And Cov Porch,2007-01-23,1,2,8713 FENTON DR,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738131,8713 FENTON DRIVE,NA,Austin,Texas,United States
6903 VILLITA CV,**Smart Housing**  New 2-Story Sf Res Covered Porch.,2007-02-09,1,2,6903 VILLITA CV,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738201,6903 VILLITA CV,NA,Austin,Texas,United States
1010 Hillside Ave,New Two Story Sf Res W/ Attached Garage & CovD Porch,2007-02-08,1,2,1010 HILLSIDE AVE,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742307,1010 HILLSIDE AVE,NA,Austin,Texas,United States
309 Camperdown Elm Dr,New 2 Story Sf Res W Att Garage And Cov Porch,2007-01-30,1,2,309 CAMPERDOWN ELM DR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740422,309 CAMPERDOWN ELM DRIVE,NA,Austin,Texas,United States
2104 STAMFORD LN,"***On August 23 2007 City Council upheld the appeal by Michael Cannitti to cancel permit based on the application expiring.  Council vote (4-3) in favor of the appeal.***
New Three Story Sf Res W/Attached Garage W/Covd Porch & 2nd Fl Covd Balcony",2007-02-12,1,3,2104 STAMFORD LN,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=728745,2104 STAMFORD LANE,NA,Austin,Texas,United States
8110 FM 2222 RD BLDG 20,New Multi-Family Townhomes Only,2007-02-16,2,2,8110 FM 2222 RD BLDG 20,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740506,8110 FM 2222 ROAD BLDG 20,NA,Austin,Texas,United States
6112 Bridlington Cir,Finish Out Conversion Of  Garage To Living Rm Storage Media Rm W/Closets Exst Utility.,2007-02-08,1,1,6112 BRIDLINGTON CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742246,6112 BRIDLINGTON CIR,NA,Austin,Texas,United States
5305 PARK AT WOODLANDS DR,"New 1 Story Sf Res W Att Garage And Cov Porch
**Smart Housing**",2007-02-15,1,1,5305 PARK AT WOODLANDS DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742538,5305 PARK AT WOODLANDS DRIVE,NA,Austin,Texas,United States
5617 Liberton Ln,New 2-Story Sf Res Attached Garage Covered Porch And Patio.,2007-02-12,1,2,5617 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742413,5617 LIBERTON LANE,NA,Austin,Texas,United States
8110 FM 2222 RD BLDG 26,New Multi-Family Townhomes,2007-02-16,2,2,8110 FM 2222 RD BLDG 26,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740509,8110 FM 2222 ROAD BLDG 26,NA,Austin,Texas,United States
8110 FM 2222 RD BLDG 22,New Multi-Family Townhomes Only,2007-02-16,2,2,8110 FM 2222 RD BLDG 22,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740508,8110 FM 2222 ROAD BLDG 22,NA,Austin,Texas,United States
8110 FM 2222 RD BLDG 13,New Multi-Family Townhomes Only,2007-02-16,2,2,8110 FM 2222 RD BLDG 13,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740505,8110 FM 2222 ROAD BLDG 13,NA,Austin,Texas,United States
5529 JACKIE ROBINSON ST,New 1-Story Sf Res W/Covered Porches.,2007-01-23,1,1,5529 JACKIE ROBINSON ST,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741464,5529 JACKIE ROBINSON STREET,NA,Austin,Texas,United States
6405 Kedington St,New 2 Story Sf Res W Att Garage And Cov Porch  *Smart Housing Program**,2007-02-07,1,2,6405 KEDINGTON ST,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742102,6405 KEDINGTON STREET,NA,Austin,Texas,United States
6916 VILLITA AVENIDA,**Smart Housing** New 2-Story Sf Res Covered Porch.,2007-02-09,1,2,6916 VILLITA AVENIDA,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738354,6916 VILLITA AVENIDA,NA,Austin,Texas,United States
12213 ALCANZA DR,**ref permit#2009-031257**New 2-Story Sf Res Attached Garage Covered Porches And Patios. **Stratus Bank**Only Bldg Waived**;Vegetative Filter Strip must be restored prior to CO.,2007-02-02,1,2,12213 ALCANZA DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741437,12213 ALCANZA DRIVE,NA,Austin,Texas,United States
7117 CAYENNE LN,**Smart Housing**  New 1-Story Sf Res Attached Garage Covered Porch.,2007-02-09,1,1,7117 CAYENNE LN,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742252,7117 CAYENNE LANE,NA,Austin,Texas,United States
8110 FM 2222 RD BLDG 25,New Multi-Family Townhomes Only,2007-02-16,2,2,8110 FM 2222 RD BLDG 25,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=750482,8110 FM 2222 ROAD BLDG 25,NA,Austin,Texas,United States
8917 Quick Stream Dr,New 1 Story Sf Res. Att Garage Covd Porch. **Smart Housing**,2007-02-16,1,1,8917 QUICK STREAM DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742642,8917 QUICK STREAM DRIVE,NA,Austin,Texas,United States
8913 Quick Stream Dr,"New 1 Story Sf Res W Att Garage And Cov Porch/Patio
*Smart Housing*",2007-02-16,1,1,8913 QUICK STREAM DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742533,8913 QUICK STREAM DRIVE,NA,Austin,Texas,United States
6224 Crow Ln,"New 2-Story Sf Res Attached Garage Covered Poch & Covered Wood Deck.

Entire lot cleared; see CV (violation) folder",2007-02-14,1,2,6224 CROW LN,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=763474,6224 CROW LANE,NA,Austin,Texas,United States
