project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
1201 AZIE MORTON RD BLDG 1,"ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with attached Garage. Bldg 1.

New 85sqft Pool 1. Bldg 1. (Unit A)
New 54sqft Pool 2. Bldg 2. (Unit B)
New 131sqft Pool 3. Bldg 3. (Unit C)",2024-09-05,1,3,1201 AZIE MORTON RD BLDG 1,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13386630,1201 AZIE MORTON ROAD BLDG 1,NA,Austin,Texas,United States,1
6300 MOUNTAIN PARK CV BLDG 2,New dwelling with deck,2024-08-29,1,2,6300 MOUNTAIN PARK CV BLDG 2,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13376948,6300 MOUNTAIN PARK CV BLDG 2,NA,Austin,Texas,United States,1
2601 LANSBURY DR BLDG 2,New 1-story dwelling unit 1 bed/1 bath craft room and screened in porch,2024-09-11,1,1,2601 LANSBURY DR BLDG 2,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13386463,2601 LANSBURY DRIVE BLDG 2,NA,Austin,Texas,United States,1
1136 POQUITO ST--UNIT A,New construction of two family building duplex. Unit A,2024-09-03,2,2,1136 POQUITO ST UNIT A,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13363477,1136 POQUITO STREET UNIT A,NA,Austin,Texas,United States,1
1170 1/2 SAN BERNARD ST--UNIT 1B,ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [3bed 2.5bath] with attached Carport Bldg 1 Unit 1B,2024-09-17,1,2,1170 1/2 SAN BERNARD ST UNIT 1B,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13381984,1170 1/2 SAN BERNARD STREET UNIT 1B,NA,Austin,Texas,United States,1
200 W 56TH ST BLDG 5 UNIT 5104,Unit 5104. New 2-story 3 bedroom 3 bathroom townhome residence w/ attached garage.,2024-09-19,1,2,200 W 56TH ST UNIT 5104,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13401527,200 WEST 56TH STREET UNIT 5104,NA,Austin,Texas,United States,1
409 KREBS LN,Expedited Review: New Construction of a 2-Story Single Family Res [4bed 3.5bath] with attached Garage.,2024-09-24,1,2,409 KREBS LN,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13325630,409 KREBS LANE,NA,Austin,Texas,United States,1
6311 WALNUT HILLS DR BLDG 2,Res. Expedited Review: New construction of UNIT 2 as MODULAR 3-Story [3bed 2.5bath] on a THREE-UNIT RES. LOT.,2024-09-06,1,3,6311 WALNUT HILLS DR BLDG 2,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13388605,6311 WALNUT HILLS DRIVE BLDG 2,NA,Austin,Texas,United States,1
3607 ROBBINS RD,ePlan: Residential Expedited Review - New construction of an 2-Story Single-Family Res. [5bed 5.5bath]  with attached/detached Garage/Carport.,2024-09-12,1,3,3607 ROBBINS RD,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13399599,3607 ROBBINS ROAD,NA,Austin,Texas,United States,1
8507 WALHILL CV,Expedited Review - New construction of an 2-Story Single-Family Res. [5bed 4bath] with attached Garage.,2024-09-03,1,2,8507 WALHILL CV,78759,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13380413,8507 WALHILL CV,NA,Austin,Texas,United States,1
6311 WALNUT HILLS DR BLDG 3,Res. Expedited Review: New construction of UNIT 3 as MODULAR 3-Story [3bed 2.5bath] on a THREE-UNIT RES. LOT.,2024-09-05,1,3,6311 WALNUT HILLS DR BLDG 3,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13388606,6311 WALNUT HILLS DRIVE BLDG 3,NA,Austin,Texas,United States,1
1144 POQUITO ST--UNIT A,Smart Housing Duplex Unit A New 2-Story 3 Bed/2 Bath with covered porch,2024-09-03,2,2,1144 POQUITO ST UNIT A,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13366018,1144 POQUITO STREET UNIT A,NA,Austin,Texas,United States,1
6309 WALNUT HILLS DR BLDG 2,UNIT 2 3-Story [3bed 2.5bath],2024-09-04,1,3,6309 WALNUT HILLS DR BLDG 2,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13386526,6309 WALNUT HILLS DRIVE BLDG 2,NA,Austin,Texas,United States,1
5306 GROVER AVE,New construction of 2 story SFR 4 bed 3 bath with attached carport and garage rear covered patio and rear covered wood deck,2024-09-24,1,2,5306 GROVER AVE,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13397816,5306 GROVER AVE,NA,Austin,Texas,United States,1
8111 BRETTONWOODS LN UNIT B,*Change of Use* Attaching existing detached structure to rear/side of existing 2-story single family residence to create a duplex. New attached duplex unit will contain a family room kitchen bedroom bathroom and loft.,2024-08-28,2,2,8111 BRETTONWOODS LN UNIT B,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13372699,8111 BRETTONWOODS LANE UNIT B,NA,Austin,Texas,United States,1
1170 1/2 SAN BERNARD ST--BLDG 2,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath] with attached Carport Bldg 2,2024-09-17,1,2,1170 1/2 SAN BERNARD ST BLDG 2,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13381985,1170 1/2 SAN BERNARD STREET BLDG 2,NA,Austin,Texas,United States,1
3604 TOM MILLER ST,2-Unit use: New construction single-family residential 2-story 4 bedroom 3.5 bath with attached 2-car garage covered front porch covered rear patio and 2nd story balcony.,2024-09-10,1,2,3604 TOM MILLER ST,78723,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13374031,3604 TOM MILLER STREET,NA,Austin,Texas,United States,1
1304 DUSKY THRUSH TRL,New 2 Story SFR 5 bed 4 bath with attached garage front covered porch and rear covered patio. Existing driveway to remain,2024-09-27,1,2,1304 DUSKY THRUSH TRL,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13406552,1304 DUSKY THRUSH TRAIL,NA,Austin,Texas,United States,1
200 W 56TH ST BLDG 5 UNIT 5103,Unit 5103. New 2-story 3 bedroom 3 bathroom townhome residence w/ attached garage.,2024-09-19,1,2,200 W 56TH ST UNIT 5103,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13401526,200 WEST 56TH STREET UNIT 5103,NA,Austin,Texas,United States,1
1170 1/2 SAN BERNARD ST--UNIT 1A,ePlan: Residential Expedited Review - New construction of a 3-Story Duplex [3bed 3bath] with attached Carport Bldg 1 Unit 1A,2024-09-17,1,3,1170 1/2 SAN BERNARD ST UNIT 1A,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13381983,1170 1/2 SAN BERNARD STREET UNIT 1A,NA,Austin,Texas,United States,1
2300 ENFIELD RD UNIT 306,Unit #306 New 3-story Condominium Residence with attached garage covered porch and patio.  *CONDOMINIUM RESIDENCE,2024-09-27,2,3,2300 ENFIELD RD UNIT 306,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11852918,2300 ENFIELD ROAD UNIT 306,NA,Austin,Texas,United States,1
16612 WIND CHIME DR,16612 Wind Chime Drive - Crockett 1489-S-L New 1-story single-family residence with (3) bedrooms (2) bathrooms attached 2 car garage covered entry porch and patio,2024-09-25,1,1,16612 WIND CHIME DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13192693,16612 WIND CHIME DRIVE,NA,Austin,Texas,United States,1
1142 POQUITO ST--UNIT A,*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit A of duplex will consist of 3 bedrooms and 2 bathrooms.,2024-09-03,2,2,1142 POQUITO ST UNIT A,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13364029,1142 POQUITO STREET UNIT A,NA,Austin,Texas,United States,1
1201 AZIE MORTON RD BLDG 2,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with attached Garage. Bldg 2.,2024-09-05,1,3,1201 AZIE MORTON RD BLDG 2,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13386631,1201 AZIE MORTON ROAD BLDG 2,NA,Austin,Texas,United States,1
200 W 56TH ST BLDG 5 UNIT 5102,Unit 5102. New 2-story 3 bedroom 3 bathroom townhome residence w/ attached garage.,2024-09-19,1,2,200 W 56TH ST UNIT 5102,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13401525,200 WEST 56TH STREET UNIT 5102,NA,Austin,Texas,United States,1
17000 WIND CHIME DR,17000 Wind Chime Drive - Kendall 1841-S-L New 1-story single-family residence with (4) bedrooms (2) bathrooms attached 2 car garage covered entry porch and patio,2024-09-25,1,1,17000 WIND CHIME DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13193545,17000 WIND CHIME DRIVE,NA,Austin,Texas,United States,1
3604 TOM MILLER ST UNIT B,2 Unit use: New construction single family residential 2-story 1 bedroom 1 bath with attached 1-car carport and covered patio.,2024-09-10,1,2,3604 TOM MILLER ST UNIT B,78723,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13374032,3604 TOM MILLER STREET UNIT B,NA,Austin,Texas,United States,1
3900 BONNELL DR,ePlan: Residential Expedited Review - New construction of a 3-Story Single-Family Res. [6bed 6bath] with attached Garage.,2024-09-12,1,3,3900 BONNELL DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13398799,3900 BONNELL DRIVE,NA,Austin,Texas,United States,1
16916 WIND CHIME DR,16916 Wind Chime Drive - Bowie 1403-S-R New 1-story single-family residence with (3) bedrooms (2) bathrooms attached 2 car garage covered entry porch and patio,2024-09-25,1,1,16916 WIND CHIME DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13193565,16916 WIND CHIME DRIVE,NA,Austin,Texas,United States,1
6309 WALNUT HILLS DR BLDG 3,UNIT 3 3-Story [3bed 2.5bath],2024-09-04,1,3,6309 WALNUT HILLS DR BLDG 3,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13386527,6309 WALNUT HILLS DRIVE BLDG 3,NA,Austin,Texas,United States,1
10910 HILLSIDE OAK LN BLDG 2,Retroactively permit 1-story 1 bedroom 1 bathroom dwelling unit.,2024-09-11,1,1,10910 HILLSIDE OAK LN BLDG 2,78750,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13387299,10910 HILLSIDE OAK LANE BLDG 2,NA,Austin,Texas,United States,1
200 W 56TH ST BLDG 5 UNIT 5101,Unit 5101. New 2-story 3 bedroom 3 bathroom townhome residence w/ attached garage.,2024-09-19,1,2,200 W 56TH ST UNIT 5101,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13401524,200 WEST 56TH STREET UNIT 5101,NA,Austin,Texas,United States,1
1140 POQUITO ST--UNIT A,*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit A of duplex will consist of 3 bedrooms and 2 bathrooms.,2024-09-03,2,2,1140 POQUITO ST UNIT A,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13299558,1140 POQUITO STREET UNIT A,NA,Austin,Texas,United States,1
2904 OAK PARK DR,Expedited Review - New Construction of a 2-Story Single Family Res. [4bed 3bath] with attached 2-car Garage.,2024-09-04,1,2,2904 OAK PARK DR,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13326211,2904 OAK PARK DRIVE,NA,Austin,Texas,United States,1
1140 POQUITO ST--UNIT B,*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit B of duplex will consist of 3 bedrooms and 2 bathrooms.,2024-09-03,2,2,1140 POQUITO ST UNIT B,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13373894,1140 POQUITO STREET UNIT B,NA,Austin,Texas,United States,1
1142 POQUITO ST--UNIT B,*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit B of duplex will consist of 3 bedrooms and 2 bathrooms.,2024-09-03,2,2,1142 POQUITO ST UNIT B,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13364030,1142 POQUITO STREET UNIT B,NA,Austin,Texas,United States,1
7516 NORTHCREST BLVD BLDG 2,Expedited Review - New Construction of a 2-Story Secondary Apartment [2bed 2bath],2024-09-13,1,2,7516 NORTHCREST BLVD BLDG 2,78752,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12887292,7516 NORTHCREST BOULEVARD BLDG 2,NA,Austin,Texas,United States,1
1311 CASEY ST,Expedited Review - New construction of a 2-story duplex [6bed 7bath] with habitable attic 1-car attached garage and 1-car carport.,2024-09-06,2,3,1311 CASEY ST,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12944017,1311 CASEY STREET,NA,Austin,Texas,United States,1
85 LLANO ST,New 2 story Residence with attached carport. 3/2.5,2024-09-26,1,2,85 LLANO ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13294854,85 LLANO STREET,NA,Austin,Texas,United States,1
6309 WALNUT HILLS DR BLDG 1,ePlan: Residential Expedited Review - New construction of a UNIT 1 3-Story [3bed 2.5bath],2024-09-04,1,3,6309 WALNUT HILLS DR BLDG 1,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13386525,6309 WALNUT HILLS DRIVE BLDG 1,NA,Austin,Texas,United States,1
1146 POQUITO ST--UNIT B,*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit B of duplex will consist of 3 bedrooms and 2 bathrooms.,2024-09-03,2,2,1146 POQUITO ST UNIT B,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13364681,1146 POQUITO STREET UNIT B,NA,Austin,Texas,United States,1
1502 HILLMONT ST UNIT A,New construction two-unit residential 3-story 3 bedroom w/ office 2.5 bath with attached 2-car garage rear covered patio uncovered wood deck 2nd floor covered deck and 3rd floor uncovered deck;,2024-08-27,2,3,1502 HILLMONT ST UNIT A,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13373960,1502 HILLMONT STREET UNIT A,NA,Austin,Texas,United States,1
3401 BURLESON RD BLDG 2,New 1-story 3 bedroom 2 bathroom manufactured home.,2024-08-05,1,1,3401 BURLESON RD BLDG 2,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13370370,3401 BURLESON ROAD BLDG 2,NA,Austin,Texas,United States,1
12615 LYNDON DR,ePlan: Residential Expedited Review - New construction of a 3-Story Single-Family Res. [7bed 7.5bath] with attached Garage.,2024-08-12,1,3,12615 LYNDON DR,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13373563,12615 LYNDON DRIVE,NA,Austin,Texas,United States,1
200 W 56TH ST UNIT 2104,Unit 2104: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.,2024-08-22,1,2,200 W 56TH ST UNIT 2104,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13380020,200 WEST 56TH STREET UNIT 2104,NA,Austin,Texas,United States,1
200 W 56TH ST UNIT 1104,Unit 1104: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.,2024-08-20,1,2,200 W 56TH ST UNIT 1104,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13378391,200 WEST 56TH STREET UNIT 1104,NA,Austin,Texas,United States,1
613 E 50TH ST BLDG 1,Permitting of addition to main house,2024-07-30,1,1,613 E 50TH ST BLDG 1,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13359707,613 EAST 50TH STREET BLDG 1,NA,Austin,Texas,United States,1
200 W 56TH ST UNIT 1103,Unit 1103: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.,2024-08-20,1,2,200 W 56TH ST UNIT 1103,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13378390,200 WEST 56TH STREET UNIT 1103,NA,Austin,Texas,United States,1
1708 CORONA DR,new 1-story single-family res with 2 bedroom 3 bathrooms attached garage covered patio,2024-07-30,1,1,1708 CORONA DR,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13326427,1708 CORONA DRIVE,NA,Austin,Texas,United States,1
200 W 56TH ST UNIT 1102,Unit 1102: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.,2024-08-20,1,2,200 W 56TH ST UNIT 1102,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13378389,200 WEST 56TH STREET UNIT 1102,NA,Austin,Texas,United States,1
200 W 56TH ST UNIT 2102,Unit 2102: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.,2024-08-22,1,2,200 W 56TH ST UNIT 2102,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13380017,200 WEST 56TH STREET UNIT 2102,NA,Austin,Texas,United States,1
107 LITTLE WALNUT DR UNIT B,107 Little Walnut Dr Unit B (east unit). New 3-story modular duplex unit  2.5 bathroom  covered porch attached 1-car garage.  Part of 3-unit residential use.,2024-08-01,1,2,107 LITTLE WALNUT DR UNIT B,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13369634,107 LITTLE WALNUT DRIVE UNIT B,NA,Austin,Texas,United States,1
4806 CARSONHILL DR BLDG 2,New 1-story 1 bedroom 2 bathroom dwelling unit.,2024-08-12,1,1,4806 CARSONHILL DR BLDG 2,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13373248,4806 CARSONHILL DRIVE BLDG 2,NA,Austin,Texas,United States,1
3805 ROCKLEDGE DR BLDG 2,ePlan: Residential Expedited Review - New construction of a TWO RES. UNIT 2  2-Story [5bed 4.5bath] with attached Garage,2024-07-31,1,2,3805 ROCKLEDGE DR BLDG 2,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13369321,3805 ROCKLEDGE DRIVE BLDG 2,NA,Austin,Texas,United States,1
204 PECAN DR BLDG 1,Bldg 1(front building): New 2-Story [3bed 2.5bath] with attached Garage. Part of 3-unit use.,2024-08-16,1,2,204 PECAN DR BLDG 1,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13378207,204 PECAN DRIVE BLDG 1,NA,Austin,Texas,United States,1
200 W 56TH ST UNIT 2103,Unit 2103: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.,2024-08-22,1,2,200 W 56TH ST UNIT 2103,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13380018,200 WEST 56TH STREET UNIT 2103,NA,Austin,Texas,United States,1
107 LITTLE WALNUT DR UNIT A,107 Little Walnut Dr Unit A (west unit) new 3-story modular duplex unit .  Part of 3-unit residential use.,2024-08-01,1,2,107 LITTLE WALNUT DR UNIT A,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13369633,107 LITTLE WALNUT DRIVE UNIT A,NA,Austin,Texas,United States,1
5519 JACKIE ROBINSON ST,Unit 01 - New two-story detached single family residence. (2) bedroom (2.5) bathrooms attached 1 car garage. Floor plan type: The Roosevelt A-L-Elevation Option 1. Building Height 25ft-1/4in. Maximum Height 30ft. Required Parking: 2.,2024-08-20,1,2,5519 JACKIE ROBINSON ST,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13369701,5519 JACKIE ROBINSON STREET,NA,Austin,Texas,United States,1
613 E 50TH ST BLDG 2,Building 2 New Two Story Single Family House to the rear of Main house,2024-07-30,1,1,613 E 50TH ST BLDG 2,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13359708,613 EAST 50TH STREET BLDG 2,NA,Austin,Texas,United States,1
3606 FALL TRL BLDG 2,New semi-attached garage & garage apartment (1 bedroom balcony 1 bath & sink outside bathroom),2024-07-19,1,2,3606 FALL TRL BLDG 2,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13362260,3606 FALL TRAIL BLDG 2,NA,Austin,Texas,United States,1
200 PECAN DR,200 Pecan Dr  New 2 story detached modular residence 4 bedroom 3 bathroom attached garage.  Part of 3- unit use.,2024-08-01,1,2,200 PECAN DR,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13369631,200 PECAN DRIVE,NA,Austin,Texas,United States,1
400 BRADY LN,ePlan: Residential Expedited Review - New construction of an 2-Story Single-Family Res. [4bed 5.5bath]  with attached Garage and Pool.,2024-07-22,1,2,400 BRADY LN,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13337646,400 BRADY LANE,NA,Austin,Texas,United States,1
200 W 56TH ST UNIT 1101,Unit 1101: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.,2024-08-20,1,2,200 W 56TH ST UNIT 1101,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13378388,200 WEST 56TH STREET UNIT 1101,NA,Austin,Texas,United States,1
200 W 56TH ST UNIT 2101,Unit 2101: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.,2024-08-22,1,2,200 W 56TH ST UNIT 2101,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13380016,200 WEST 56TH STREET UNIT 2101,NA,Austin,Texas,United States,1
3805 ROCKLEDGE DR BLDG 1,ePlan: Residential Expedited Review - New construction of a TWO RES. UNIT 1 2-Story [5bed 4.5bath] with attached Garage,2024-07-31,1,2,3805 ROCKLEDGE DR BLDG 1,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13369320,3805 ROCKLEDGE DRIVE BLDG 1,NA,Austin,Texas,United States,1
3606 FALL TRL,ePlan: Residential Expedited Review - New construction of an 2-Story Single-Family Res. [bed bath] with Accessary Structure above detached Garage and (Autofill/Heated) Pool.,2024-07-19,1,3,3606 FALL TRL,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13362259,3606 FALL TRAIL,NA,Austin,Texas,United States,1
1315 W ST JOHNS AVE,Expedited Review - New Construction of a 2-Story Single Family Res. [3bed 4.5bath],2024-07-30,1,2,1315 W ST JOHNS AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13153563,1315 WEST STREET JOHNS AVE,NA,Austin,Texas,United States,1
1719 CHANNEL RD,New 2-Story SFR with attached garage and covered porch 5/8,2024-06-06,1,2,1719 CHANNEL RD,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13339880,1719 CHANNEL ROAD,NA,Austin,Texas,United States,1
1001 JEWELL ST,"New 2 story unit with 4 bedrooms 3.5 bathrooms. 


REVISION: Remove the basement from the application and update the calculation aids along with the final Building/ Impervious coverage precents.",2024-06-27,1,2,1001 JEWELL ST,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13343702,1001 JEWELL STREET,NA,Austin,Texas,United States,1
803 RIVER RD,New 2-story SFR w/crawspace with attached garage and covered porch 5/5.5,2024-06-25,1,2,803 RIVER RD,78734,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13350202,803 RIVER ROAD,NA,Austin,Texas,United States,1
5401 MC CANDLESS ST,New garage with apartment and a pre-manufactured pool inside the building,2024-06-12,1,2,5401 MC CANDLESS ST,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11823058,5401 MC CANDLESS STREET,NA,Austin,Texas,United States,1
2611 OAK CREST AVE,*HOME* New construction two-unit residential 2-story duplex 3 bedroom (both units) 2.5 bath (both units) with attached 1-car garage (both units) covered front porch (both units) and uncovered rear wood deck (both units).,2024-07-02,2,2,2611 OAK CREST AVE,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13323830,2611 OAK CREST AVE,NA,Austin,Texas,United States,1
1007 E 15TH ST BLDG 3,Expedited Review :  Bldg 3 ; southeast building.  New construction of 3-Story [3bed 4bath] with attached Carport.   Property to become 3-unit residential per 2024 phase 1 Home ordinance.,2024-06-08,1,3,1007 E 15TH ST BLDG 3,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13337662,1007 EAST 15TH STREET BLDG 3,NA,Austin,Texas,United States,1
3705 LAGOOD DR,New 2-story SFR 4 bed 4.5 bath with attached garage with rear covered patio and rear balcony,2024-06-18,1,2,3705 LAGOOD DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13330349,3705 LAGOOD DRIVE,NA,Austin,Texas,United States,1
2001 S 1ST ST,ePlan: Expedited Review -  New Construction Single (1) Apartment in Garage (Below podium) 853 sf. Contians Maintenance and Bike Storage.,2024-06-18,1,1,2001 S 1ST ST,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12787284,2001 SOUTH 1ST STREET,NA,Austin,Texas,United States,1
4311 SHADOW OAK LN,Expedited Review: Existing Guest Res to remain; no work to be done. New construction of a 2-Story Res [3bed 5.5bath] with attached 3-Car Garage.,2024-06-17,1,3,4311 SHADOW OAK LN,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13340418,4311 SHADOW OAK LANE,NA,Austin,Texas,United States,1
